"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var119","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00458544937207522,0.015733853966096,"district","chamchamal",NA
"dependent.var120","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.00776083865447092,0.0240959327814756,"district","al.mahmoudiya",NA
"dependent.var121","a65chronic","na","NA","NA","0",NA,-0.000756441588249944,0.00657039507662203,"district","al.diwaniya",NA
"dependent.var122","a65chronic","na","NA","NA","0",NA,0,0,"district","al.mussyab",NA
"dependent.var123","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00218461309830842,0.0235858357086651,"district","aqra",NA
"dependent.var124","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.00725831314106657,0.0259826840888503,"district","duhok",NA
"dependent.var125","a65chronic","na","NA","NA","0",NA,0,0,"district","samarra",NA
"dependent.var126","health_issue.chronic","na","NA","NA","0.12 (0.01-0)",NA,0.0144433108825413,0.220680833815843,"district","tooz.khurmato",NA
"dependent.var127","health_issue.chronic","na","NA","NA","0.08 (0.06-0)",NA,0.0595097009410392,0.100299428481128,"district","telafar",NA
"dependent.var128","health_issue.chronic","na","NA","NA","0.05 (0.03-0)",NA,0.0325754186988471,0.0681440057615846,"district","kerbela",NA
"dependent.var129","health_issue.chronic","na","NA","NA","0.02 (0.01-0)",NA,0.00668184879205779,0.0335191562330678,"district","baquba",NA
"dependent.var130","health_issue.chronic","na","NA","NA","0.11 (0.09-0)",NA,0.0910229707296272,0.127500600662002,"district","kirkuk",NA
"dependent.var131","health_issue.chronic","na","NA","NA","0.1 (0.08-0)",NA,0.0827444331804513,0.122633823598615,"district","al.hamdaniya",NA
"dependent.var132","health_issue.chronic","na","NA","NA","0.08 (0.06-0)",NA,0.0569296909351808,0.0945905053957081,"district","al.mosul",NA
"dependent.var133","health_issue.chronic","na","NA","NA","0.1 (0.08-0)",NA,0.083784937232639,0.124882799524985,"district","dokan",NA
"dependent.var134","health_issue.chronic","na","NA","NA","0.08 (0.03-0)",NA,0.0299336601010504,0.131602334768278,"district","balad",NA
"dependent.var135","health_issue.chronic","na","NA","NA","0.13 (0.11-0)",NA,0.107520817261388,0.159145849405279,"district","shaqlawa",NA
"dependent.var136","health_issue.chronic","na","NA","NA","0.13 (0.09-0)",NA,0.0941065176817561,0.158321150414326,"district","dibis",NA
"dependent.var137","health_issue.chronic","na","NA","NA","0.06 (0.03-0)",NA,0.0293408907781994,0.0866465700368476,"district","derbendikhan",NA
